name,source,gender,wikidata,type
"Rua Bento Júnior",,,,way
"Rua Berta Alves de Sousa",,,,way
"Rua Bouça Ribas",,,,way
"Rua Brigadeiro Nunes da Ponte",,,,way
"Rua Câmara Pestana",,,,way
"Rua Camilo Pessanha",,,,way
"Rua Cândida Alves",,,,way
"Rua Capitão Henrique Galvão",,,,way
"Rua Capitão Salgueiro Maia",,,,way
"Rua Cardeal Dom Américo",,,,way
"Rua Carlos Carneiro",,,,way
"Rua Carlos Graça",,,,way
"Rua Carrington da Costa",,,,way
"Rua Central da Corujeira",,,,way
"Rua Central de Francos",,,,way
"Rua Central do Bairro Herculano",,,,way
"Rua Central do Viso",,,,way
"Rua César das Neves",,,,way
"Rua Chã",,,,way
"Rua Cidade de Recife",,,,way
"Rua Conde de Aurora",,,,way
"Rua Conde de Avranches",,,,way
"Rua Conde de Castro",,,,way
"Rua Conde de Silva Monteiro",,,,way
"Rua Conde de Vilas-Boas",,,,way
"Rua Coronel Almeida Valente",,,,way
"Rua Coronel Hélder Ribeiro",,,,way
"Rua Costa Barreto",,,,way
"Rua Costa Cabral",,,,way
"Rua Coutinho de Azevedo",,,,way
"Rua Cunha Espinheira",,,,way
"Rua Daniel Constant",,,,way
"Rua Daniel Serrão",,,,way
"Rua Delfim Pereira da Costa",,,,way
"Rua Diamantina",,,,way
"Rua Direita das Campinas",,,,way
"Rua Direita de Francos",,,,way
"Rua Direita de Pereiró",,,,way
"Rua Direita do Viso",,,,way
"Rua Dom Agostinho de Jesus e Sousa",,,,way
"Rua Dom António Ferreira Gomes",,,,way
"Rua Dom Francisco de Almeida",,,,way
"Rua Dom Frei Vicente da Soledade e Castro",,,,way
"Rua Dom Jerónimo de Azevedo",,,,way
"Rua Dom João Coutinho",,,,way
"Rua Dom João de Azevedo",,,,way
"Rua Dom João de Mascarenhas",,,,way
"Rua Dom Nicolau Monteiro",,,,way
"Rua Dom Nun'Álvares Pereira",,,,way
"Rua Dom Sebastião de Resende",,,,way
"Rua Domingos Sequeira",,,,way
"Rua Dominguez Alvarez",,,,way
"Rua Dona Antónia Adelaide Ferreira",,,,way
"Rua Dona Maria Borges",,,,way
"Rua Doutor Adriano de Paiva",,,,way
"Rua Doutor Aires Borges",,,,way
"Rua Doutor Alberto de Aguiar",,,,way
"Rua Doutor Albino Aroso",,,,way
"Rua Doutor António Bernardino de Almeida",,,,way
"Rua Doutor António Coelho",,,,way
"Rua Doutor António Cupertino de Miranda",,,,way
"Rua Doutor António Ferreira Braga",,,,way
"Rua Doutor António Luís Gomes",,,,way
"Rua Doutor António Sousa Macedo",,,,way
"Rua Doutor Barbosa de Castro",,,,way
"Rua Doutor Barros",,,,way
"Rua Doutor Carlos Ramos",,,,way
"Rua Doutor Carteado Mena",,,,way
"Rua Doutor Corino de Andrade",,,,way
"Rua Doutor Emílio Peres",,,,way
"Rua Doutor Eugénio da Cunha e Freitas",,,,way
"Rua Doutor Ferreira da Silva",,,,way
"Rua Doutor Gil da Costa",,,,way
"Rua Doutor João Fernandes Lopes Neves",,,,way
"Rua Doutor João Saraiva",,,,way
"Rua Doutor Júlio de Matos",,,,way
"Rua Doutor Luís Pinto da Fonseca",,,,way
"Rua Doutor Manuel Monterroso",,,,way
"Rua Doutor Manuel Pereira da Silva",,,,way
"Rua Doutor Mário Cal Brandão",,,,way
"Rua Doutor Mário de Vasconcelos e Sá",,,,way
"Rua Doutor Maurício Esteves Pereira Pinto",,,,way
"Rua Doutor Nunes da Ponte",,,,way
"Rua Doutor Paulo Pombo",,,,way
"Rua Doutor Pedro Augusto Ferreira",,,,way
"Rua Doutor Pedro Dias",,,,way
"Rua Doutor Plácido da Costa",,,,way
"Rua Doutor Roberto Frias",,,,way
"Rua Duarte de Almeida",,,,way
"Rua Duarte de Castro Ataíde Castel-Branco",,,,way
"Rua Eduardo Allen",,,,way
"Rua Elísio de Melo",,,,way
"Rua Emílio Biel",,,,way
"Rua Engenheiro Custódio Guimarães",,,,way
"Rua Engenheiro Luis Delgado dos Santos",,,,way
"Rua Escura",,,,way
"Rua Estreita dos Lóios",,,,way
"Rua Estrela e Vigorosa Sport",,,,way
"Rua Eugénio de Andrade",,,,way
"Rua Fernandes Costa",,,,way
"Rua Fernando Cabral",,,,way
"Rua Fernando Lanhas",,,,way
"Rua Fernando Mendonça",,,,way
"Rua Fernando Moreira da Silva",,,,way
"Rua Fernão Lopes",,,,way
"Rua Ferreira de Castro",,,,way
"Rua Ferreira dos Santos",,,,way
"Rua Ferrer Loureiro",,,,way
"Rua Firmino Pereira",,,,way
"Rua Florbela Espanca",,,,way
"Rua Formosa",,,,way
"Rua Francisco de Sena Esteves",,,,way
"Rua François Guichard",,,,way
"Rua Frederico Martins Mendes",,,,way
"Rua Frei Avelino Amarante",,,,way
"Rua Frei Bernardo Domingues",,,,way
"Rua General Norton de Matos",,,,way
"Rua Gisberta Salce Júnior",,,,way
"Rua Gomes Eanes de Azurara",,,,way
"Rua Gonçalo Nunes de Faria",,,,way
"Rua Gonçalo Pires Bandeira",,,,way
"Rua Guedes Pinheiro",,,,way
"Rua Guerra Junqueiro",,,,way
"Rua Gustavo de Sousa",,,,way
"Rua Helena Sá e Costa",,,,way
"Rua Henrique Alves Costa",,,,way
"Rua Henrique Medina",,,,way
"Rua Henrique de Sousa Reis",,,,way
"Rua Hernâni Torres",,,,way
"Rua Heróis e Mártires de Angola",,,,way
"Rua Honório Barreto",,,,way
"Rua Honório de Lima",,,,way
"Rua Horácio Marçal",,,,way
"Rua Inácio Alberto de Sousa",,,,way
"Rua Invicta Filmes",,,,way
"Rua Irmã Maria Droste",,,,way
"Rua Irmã Rita de Jesus",,,,way
"Rua João Allen",,,,way
"Rua João Araújo Correia",,,,way
"Rua João Corregedor da Fonseca",,,,way
"Rua João Lúcio de Azevedo",,,,way
"Rua João Marques Pinto",,,,way
"Rua João Martins Branco",,,,way
"Rua João Paulo Seara Cardoso",,,,way
"Rua João Pregueira Mendes",,,,way
"Rua João Sá Peixoto",,,,way
"Rua João de Barros",,,,way
"Rua João de Deus",,,,way
"Rua João de Oliveira Ramos",,,,way
"Rua Joaquim António de Aguiar",,,,way
"Rua Joaquim Kopke",,,,way
"Rua Joaquim Sarmento",,,,way
"Rua Joaquim de Vasconcelos",,,,way
"Rua John Whitehead",,,,way
"Rua Jorge Gigante",,,,way
"Rua Jorge Rainel",,,,way
"Rua Jorge de Sena",,,,way
"Rua José Augusto de Castro",,,,way
"Rua José Cardoso da Silva",,,,way
"Rua José Fontes Rocha",,,,way
"Rua José Mário Branco",,,,way
"Rua José Monteiro da Costa",,,,way
"Rua José Régio",,,,way
"Rua José Saraiva",,,,way
"Rua José Saramago",,,,way
"Rua José Teixeira Barreto",,,,way
"Rua José da Silva Passos",,,,way
"Rua Júlio Amaral de Carvalho",,,,way
"Rua Júlio Couto",,,,way
"Rua Júlio Lourenço Pinto",,,,way
"Rua Júlio Ramos",,,,way
"Rua La Lhéngua Mirandesa",,,,way
"Rua Lima Júnior",,,,way
